catch;day;year;ID;weight;tarse;culmen;remarque;collier
1;123;2023;2177-57417;3172;84,29;58,57;;16CU
1;123;2023;2127-43575;2860;82,15;55,32;;YM44
1;123;2023;2127-43576;3085;87,65;65,57;;YM50
1;123;2023;2127-43577;;;;;
1;123;2023;2127-43578;3150;87,43;57,88;;YM40
1;123;2023;2127-43579;2869;79,72;55,97;;YM42
1;123;2023;2127-43580;;;;;
1;123;2023;2127-43581;2660;80,2;59,74;;YK00
1;123;2023;2127-43582;3139;84,75;58,18;;YK97
1;123;2023;2127-43583;2594;79,24;54,36;;YK75
1;123;2023;2127-43584;2159;80,94;52,03;;YK73
1;123;2023;2127-43585;;;;;
1;123;2023;2127-43586;;;;;
1;123;2023;2127-43587;;;;;
1;123;2023;2127-43588;2166;83,15;55,11;;YK94
1;123;2023;2127-43589;;;;;
1;123;2023;2127-43590;;;;;
1;123;2023;2127-43591;;;;;
1;123;2023;2127-43592;;;;;
1;123;2023;2127-43593;2953;84,41;56,77;;YK76
1;123;2023;2127-43594;;;;;
1;123;2023;2127-43595;;;;;
1;123;2023;2127-43596;;;;;
1;123;2023;2127-43597;;;;;
1;123;2023;2127-43598;;;;;
1;123;2023;2127-43599;;;;;
1;123;2023;2127-43600;2897;79,73;59,38;;YK95
1;123;2023;2127-43601;;;;;
1;123;2023;2127-43602;;;;;
1;123;2023;2127-43603;;;;;
1;123;2023;2127-43604;;;;;
1;123;2023;2127-43605;;;;;
1;123;2023;2127-43606;;;;;
2;123;2023;2127-43607;;;;;
2;123;2023;2127-43608;;;;;
2;123;2023;2127-43609;;;;;
2;123;2023;2127-43610;;;;;
2;123;2023;2127-43611;;;;;
2;123;2023;2127-43612;;;;;
2;123;2023;2127-43613;;;;;
2;123;2023;2127-43614;;;;;
2;123;2023;2127-43615;;;;;
2;123;2023;2127-43616;;;;;
2;123;2023;2127-43617;;;;;
2;123;2023;2127-43618;;;;;
2;123;2023;2127-43619;;;;;
2;123;2023;2127-43620;;;;;
2;123;2023;2127-43621;;;;;
2;123;2023;2127-43622;;;;;
2;123;2023;2127-43623;;;;;
2;123;2023;2127-43624;;;;;
2;123;2023;2127-43625;;;;;
2;123;2023;2127-43626;;;;;
2;123;2023;2127-43627;;;;;
2;123;2023;2127-43628;;;;;
2;123;2023;2127-43629;;;;;
2;123;2023;2127-43630;;;;;
2;123;2023;2127-43631;;;;;
2;123;2023;2127-43632;;;;;
2;123;2023;2127-43633;;;;;
2;123;2023;2127-43634;;;;;
2;123;2023;2127-43635;;;;;
2;123;2023;2127-43636;;;;;
2;123;2023;2127-43637;;;;;
2;123;2023;2127-43638;;;;;
2;123;2023;2127-43639;;;;;
2;123;2023;2127-43640;;;;;
2;123;2023;2127-43641;;;;;
2;123;2023;2127-43642;;;;;
2;123;2023;2127-43643;;;;;
2;123;2023;2127-43644;;;;;
2;123;2023;2127-43645;;;;;
2;123;2023;2127-43646;;;;;
2;123;2023;2127-43647;;;;;
2;123;2023;2127-43648;;;;;
2;123;2023;2127-43649;;;;;
3;123;2023;2127-43650;;;;;
3;123;2023;2127-43651;;;;;
3;123;2023;2127-43652;;;;;
3;123;2023;2127-43653;;;;;
3;123;2023;2127-43654;;;;;
3;123;2023;2127-43655;;;;;
3;123;2023;2127-43656;;;;;
3;123;2023;2127-43657;;;;;
3;123;2023;2127-43658;;;;;
3;123;2023;2127-43659;;;;;
3;123;2023;2127-43660;;;;;
3;123;2023;2127-43661;;;;;
3;123;2023;2127-43662;;;;;
3;123;2023;2127-43663;;;;;
3;123;2023;2127-43664;;;;;
3;123;2023;2127-43665;;;;;
3;123;2023;2127-43666;;;;;
3;123;2023;2127-43667;;;;;
3;123;2023;2127-43668;;;;;
3;123;2023;2127-43669;;;;;
3;123;2023;2127-43670;;;;;
3;123;2023;2127-43671;;;;;
3;123;2023;2127-43672;;;;;
3;123;2023;2127-43673;;;;;
3;123;2023;2127-43674;;;;;
3;123;2023;2127-43675;;;;;
3;123;2023;2127-43676;;;;;
3;123;2023;2127-43677;;;;;
3;123;2023;2127-43678;;;;;
3;123;2023;2127-43679;;;;;
3;123;2023;2127-43680;;;;;
3;123;2023;2127-43681;;;;;
3;123;2023;2127-43682;;;;;
3;123;2023;2127-43683;;;;;
3;123;2023;2127-43684;;;;;
3;123;2023;2127-43685;;;;;
3;123;2023;2127-43686;;;;;
3;123;2023;2127-43687;;;;;
3;123;2023;2127-43688;;;;;
3;123;2023;2127-43689;;;;;
3;123;2023;2127-43690;;;;;
3;123;2023;2127-43691;;;;;
3;123;2023;2127-43692;;;;;
3;123;2023;2127-43693;;;;;
3;123;2023;2127-43694;;;;;
3;123;2023;2127-43695;;;;;
3;123;2023;2127-43696;;;;;
3;123;2023;2127-43697;;;;;
3;123;2023;2127-43698;;;;;
3;123;2023;2127-43699;;;;;
1;123;2023;2127-43700;;;;;
1;123;2023;2127-43701;2992;84,03;59,07;;YM49
1;123;2023;2127-43702;2936;84,46;60,31;;YM39
1;123;2023;2127-43703;2945;89,15;58,83;;YM45
1;123;2023;2127-43704;2888;86,71;59,23;;YM36
1;123;2023;2127-43705;1412;79,12;55,39;;YM41
1;123;2023;2127-43706;3683;89,98;61,42;;YM37
1;123;2023;2127-43707;3032;85,72;59,91;;YM46
1;123;2023;2127-43708;2861;83,67;54,7;;YM38
1;123;2023;2127-43709;;;;;
1;123;2023;2127-43710;;;;;
1;123;2023;2127-43711;;;;;
1;123;2023;2127-43712;;;;;
1;123;2023;2127-43713;;;;;
1;123;2023;2127-43714;;;;;
1;123;2023;2127-43715;;;;;
1;123;2023;2127-43716;;;;;
1;123;2023;2127-43717;2913;93,66;57,41;;YM48
1;123;2023;2127-43718;;;;;
1;123;2023;2127-43719;;;;;
1;123;2023;2127-43720;;;;;
1;123;2023;2127-43721;2895;89,16;58,22;;YM47
1;123;2023;2127-43722;;;;;
1;123;2023;2127-43723;2640;82,28;58,78;;YM31
1;123;2023;2127-43724;2786;80,06;59,43;;YM30
1;123;2023;2127-43725;3243;87,76;58,87;;YM34
1;123;2023;2127-43726;;;;;
1;123;2023;2127-43727;3020;83,43;61,9;;YM35
1;123;2023;2127-43728;2810;83,11;61,32;;YM33
1;123;2023;2127-43729;3068;87,49;62,92;;YM32
1;123;2023;2127-43730;;;;;
1;123;2023;2127-43731;;;;;
1;123;2023;2127-43732;2387;79,63;54,31;;YM27
1;123;2023;2127-43733;2909;81,88;60,61;;YM26
1;123;2023;2127-43734;;;;;
1;123;2023;2127-43735;;;;;
1;123;2023;2127-43736;;;;;
1;123;2023;2127-43737;;;;;
1;123;2023;2127-43738;2894;87,63;58,56;;YM28
1;123;2023;2127-43739;;;;;
1;123;2023;2127-43740;;;;;
1;123;2023;2127-43741;2864;84,03;61,47;;YM29
1;123;2023;2127-43742;2847;85,88;61,7;;YM20
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
1;123;2023;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
4;127;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
;;;;;;;;
;;;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
5;129;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
6;132;2022;;;;;;
